category
"Action                                            "
"Adventure                                         "
"Beat 'em up                                       "
"Collectible Cards                                 "
"Combat                                            "
"Crime                                             "
"Eroge                                             "
"Fighting                                          "
"First-person shooter                              "
"Full Motion                                       "
"Hack and slash                                    "
"Historical fiction                                "
"Horror                                            "
"Interactive movie                                 "
"Music                                             "
"Open world                                        "
"Platform                                          "
"Psychological horror                              "
"Puzzle                                            "
"Racing                                            "
"Role-playing                                      "
"Run and gun                                       "
"Simulation                                        "
"Sports                                            "
"Stealth                                           "
"Strategy                                          "
"Survival                                          "
"Survival|Horror                                   "
"Third-person shooter                              "
"Visual novel                                      "
"War                                               "
